"Step","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss__MAX"
"10","","","","","","","","","","0.1156921461224556","0.1156921461224556","0.1156921461224556"
"20","","","","","","","0.35456568002700806","0.35456568002700806","0.35456568002700806","","",""
"21","","","","","","","","","","0.059856899082660675","0.059856899082660675","0.059856899082660675"
"32","","","","","","","","","","0.05104012414813042","0.05104012414813042","0.05104012414813042"
"40","0.3106718361377716","0.3106718361377716","0.3106718361377716","0.3115334212779999","0.3115334212779999","0.3115334212779999","","","","","",""
"41","","","","","","","0.30553972721099854","0.30553972721099854","0.30553972721099854","","",""
"43","","","","","","","","","","0.039995983242988586","0.039995983242988586","0.039995983242988586"
"54","","","","","","","","","","0.037375565618276596","0.037375565618276596","0.037375565618276596"
"62","","","","","","","0.2812468111515045","0.2812468111515045","0.2812468111515045","","",""
"65","","","","","","","","","","0.03331613913178444","0.03331613913178444","0.03331613913178444"
"76","","","","","","","","","","0.03120964579284191","0.03120964579284191","0.03120964579284191"
"81","0.2699566185474396","0.2699566185474396","0.2699566185474396","0.27827560901641846","0.27827560901641846","0.27827560901641846","","","","","",""
"83","","","","","","","0.2687164843082428","0.2687164843082428","0.2687164843082428","","",""
"87","","","","","","","","","","0.029460038989782333","0.029460038989782333","0.029460038989782333"
"98","","","","","","","","","","0.03177536278963089","0.03177536278963089","0.03177536278963089"
"104","","","","","","","0.24095597863197327","0.24095597863197327","0.24095597863197327","","",""
"109","","","","","","","","","","0.02791251800954342","0.02791251800954342","0.02791251800954342"
"120","","","","","","","","","","0.026945650577545166","0.026945650577545166","0.026945650577545166"
"122","0.22004345059394836","0.22004345059394836","0.22004345059394836","0.21460528671741486","0.21460528671741486","0.21460528671741486","","","","","",""
"125","","","","","","","0.2302647829055786","0.2302647829055786","0.2302647829055786","","",""
"131","","","","","","","","","","0.02861759625375271","0.02861759625375271","0.02861759625375271"
"142","","","","","","","","","","0.03050871379673481","0.03050871379673481","0.03050871379673481"
"146","","","","","","","0.21666564047336578","0.21666564047336578","0.21666564047336578","","",""
"153","","","","","","","","","","0.02721441350877285","0.02721441350877285","0.02721441350877285"
"163","0.20254836976528168","0.20254836976528168","0.20254836976528168","0.1853380650281906","0.1853380650281906","0.1853380650281906","","","","","",""
"164","","","","","","","","","","0.027712006121873856","0.027712006121873856","0.027712006121873856"
"167","","","","","","","0.19708047807216644","0.19708047807216644","0.19708047807216644","","",""
"175","","","","","","","","","","0.026157157495617867","0.026157157495617867","0.026157157495617867"
"186","","","","","","","","","","0.028277350589632988","0.028277350589632988","0.028277350589632988"
"188","","","","","","","0.19738678634166718","0.19738678634166718","0.19738678634166718","","",""
"197","","","","","","","","","","0.02955538220703602","0.02955538220703602","0.02955538220703602"
"204","0.19495877623558044","0.19495877623558044","0.19495877623558044","0.18930783867835999","0.18930783867835999","0.18930783867835999","","","","","",""
"208","","","","","","","","","","0.028472885489463806","0.028472885489463806","0.028472885489463806"
"209","","","","","","","0.193868026137352","0.193868026137352","0.193868026137352","","",""
"219","","","","","","","","","","0.026027433574199677","0.026027433574199677","0.026027433574199677"
