"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MAX"
"500","180","180","180","2.3389081954956055","2.3389081954956055","2.3389081954956055","180","180","180","2.338283061981201","2.338283061981201","2.338283061981201","180","180","180","2.454599618911743","2.454599618911743","2.454599618911743","8020","8020","8020","2.4488439559936523","2.4488439559936523","2.4488439559936523","8020","8020","8020","2.598306655883789","2.598306655883789","2.598306655883789","8020","8020","8020","2.4450690746307373","2.4450690746307373","2.4450690746307373"
"1000","362","362","362","2.32875657081604","2.32875657081604","2.32875657081604","362","362","362","2.3236405849456787","2.3236405849456787","2.3236405849456787","362","362","362","2.429636240005493","2.429636240005493","2.429636240005493","16042","16042","16042","2.4244742393493652","2.4244742393493652","2.4244742393493652","16028","16028","16028","2.5661234855651855","2.5661234855651855","2.5661234855651855","16028","16028","16028","2.419045925140381","2.419045925140381","2.419045925140381"
"1500","544","544","544","2.324310064315796","2.324310064315796","2.324310064315796","544","544","544","2.3139684200286865","2.3139684200286865","2.3139684200286865","544","544","544","1.3137363195419312","1.3137363195419312","1.3137363195419312","24064","24064","24064","2.406609296798706","2.406609296798706","2.406609296798706","24036","24036","24036","1.3120249509811401","1.3120249509811401","1.3120249509811401","24036","24036","24036","1.3118642568588257","1.3118642568588257","1.3118642568588257"
"2000","726","726","726","2.3214194774627686","2.3214194774627686","2.3214194774627686","726","726","726","2.308537483215332","2.308537483215332","2.308537483215332","726","726","726","1.2347378730773926","1.2347378730773926","1.2347378730773926","32086","32086","32086","2.388521432876587","2.388521432876587","2.388521432876587","32044","32044","32044","1.2790324687957764","1.2790324687957764","1.2790324687957764","32044","32044","32044","1.2173190116882324","1.2173190116882324","1.2173190116882324"
"2500","908","908","908","2.3218612670898438","2.3218612670898438","2.3218612670898438","908","908","908","2.30251407623291","2.30251407623291","2.30251407623291","908","908","908","1.2181166410446167","1.2181166410446167","1.2181166410446167","40108","40108","40108","2.3747007846832275","2.3747007846832275","2.3747007846832275","40052","40052","40052","1.2714279890060425","1.2714279890060425","1.2714279890060425","40052","40052","40052","1.2030259370803833","1.2030259370803833","1.2030259370803833"
"3000","1090","1090","1090","2.3122689723968506","2.3122689723968506","2.3122689723968506","1090","1090","1090","2.296743631362915","2.296743631362915","2.296743631362915","1090","1090","1090","1.2088854312896729","1.2088854312896729","1.2088854312896729","48130","48130","48130","2.34761905670166","2.34761905670166","2.34761905670166","48060","48060","48060","1.2661398649215698","1.2661398649215698","1.2661398649215698","48060","48060","48060","1.1954115629196167","1.1954115629196167","1.1954115629196167"
"3500","1272","1272","1272","2.309122323989868","2.309122323989868","2.309122323989868","1272","1272","1272","2.2937817573547363","2.2937817573547363","2.2937817573547363","1272","1272","1272","1.202246069908142","1.202246069908142","1.202246069908142","56152","56152","56152","1.7369563579559326","1.7369563579559326","1.7369563579559326","56068","56068","56068","1.2592675685882568","1.2592675685882568","1.2592675685882568","56068","56068","56068","1.1926203966140747","1.1926203966140747","1.1926203966140747"
"4000","1454","1454","1454","2.305849313735962","2.305849313735962","2.305849313735962","1454","1454","1454","2.2862234115600586","2.2862234115600586","2.2862234115600586","1454","1454","1454","1.202254295349121","1.202254295349121","1.202254295349121","64174","64174","64174","1.2217838764190674","1.2217838764190674","1.2217838764190674","64090","64090","64090","1.2567776441574097","1.2567776441574097","1.2567776441574097","64090","64090","64090","1.1887450218200684","1.1887450218200684","1.1887450218200684"
"4500","1636","1636","1636","2.3047080039978027","2.3047080039978027","2.3047080039978027","1636","1636","1636","1.3340893983840942","1.3340893983840942","1.3340893983840942","1636","1636","1636","1.1965827941894531","1.1965827941894531","1.1965827941894531","72196","72196","72196","1.2010973691940308","1.2010973691940308","1.2010973691940308","72098","72098","72098","1.2563263177871704","1.2563263177871704","1.2563263177871704","72098","72098","72098","1.1864796876907349","1.1864796876907349","1.1864796876907349"
"5000","1818","1818","1818","2.3013267517089844","2.3013267517089844","2.3013267517089844","1818","1818","1818","1.268846035003662","1.268846035003662","1.268846035003662","1818","1818","1818","1.194091796875","1.194091796875","1.194091796875","80218","80218","80218","1.192104697227478","1.192104697227478","1.192104697227478","80106","80106","80106","1.2529412508010864","1.2529412508010864","1.2529412508010864","80106","80106","80106","1.1851450204849243","1.1851450204849243","1.1851450204849243"
