"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MAX"
"500","181","181","181","0.09494002688430705","0.09494002688430705","0.09494002688430705","181","181","181","0.11369678536530674","0.11369678536530674","0.11369678536530674","181","181","181","0.14742421688069685","0.14742421688069685","0.14742421688069685","8021","8021","8021","0.11379592224361265","0.11379592224361265","0.11379592224361265","8021","8021","8021","0.16632997553066994","0.16632997553066994","0.16632997553066994","8021","8021","8021","0.17035924789729007","0.17035924789729007","0.17035924789729007"
"1000","363","363","363","0.14753908964520487","0.14753908964520487","0.14753908964520487","363","363","363","0.13918911616179275","0.13918911616179275","0.13918911616179275","363","363","363","0.17100422508768143","0.17100422508768143","0.17100422508768143","16043","16043","16043","0.13860711391275954","0.13860711391275954","0.13860711391275954","16029","16029","16029","0.1983984158125897","0.1983984158125897","0.1983984158125897","16029","16029","16029","0.19752814094327947","0.19752814094327947","0.19752814094327947"
"1500","545","545","545","0.15009483895026784","0.15009483895026784","0.15009483895026784","545","545","545","0.15658515392899966","0.15658515392899966","0.15658515392899966","545","545","545","0.7546321959371167","0.7546321959371167","0.7546321959371167","24065","24065","24065","0.14091523372174078","0.14091523372174078","0.14091523372174078","24037","24037","24037","0.8677959929458167","0.8677959929458167","0.8677959929458167","24037","24037","24037","0.7827416824490199","0.7827416824490199","0.7827416824490199"
"2000","727","727","727","0.16961061907810387","0.16961061907810387","0.16961061907810387","727","727","727","0.17432754250809368","0.17432754250809368","0.17432754250809368","727","727","727","0.9321678164708981","0.9321678164708981","0.9321678164708981","32087","32087","32087","0.2186252505817145","0.2186252505817145","0.2186252505817145","32045","32045","32045","0.9467651271800426","0.9467651271800426","0.9467651271800426","32045","32045","32045","0.9249996365982248","0.9249996365982248","0.9249996365982248"
"2500","909","909","909","0.15202846078080834","0.15202846078080834","0.15202846078080834","909","909","909","0.2058630236285759","0.2058630236285759","0.2058630236285759","909","909","909","0.9494359312351422","0.9494359312351422","0.9494359312351422","40109","40109","40109","0.21909328285497906","0.21909328285497906","0.21909328285497906","40053","40053","40053","0.9810525573339837","0.9810525573339837","0.9810525573339837","40053","40053","40053","0.9234025247980444","0.9234025247980444","0.9234025247980444"
"3000","1091","1091","1091","0.17705687071960793","0.17705687071960793","0.17705687071960793","1091","1091","1091","0.1696137197837073","0.1696137197837073","0.1696137197837073","1091","1091","1091","0.9541513652795024","0.9541513652795024","0.9541513652795024","48131","48131","48131","0.1707107043889629","0.1707107043889629","0.1707107043889629","48061","48061","48061","0.9467558301361153","0.9467558301361153","0.9467558301361153","48061","48061","48061","0.9319172945713537","0.9319172945713537","0.9319172945713537"
"3500","1273","1273","1273","0.19174551271775275","0.19174551271775275","0.19174551271775275","1273","1273","1273","0.180106100540724","0.180106100540724","0.180106100540724","1273","1273","1273","0.9570842258895128","0.9570842258895128","0.9570842258895128","56153","56153","56153","0.3897726520596348","0.3897726520596348","0.3897726520596348","56069","56069","56069","0.9480734762015033","0.9480734762015033","0.9480734762015033","56069","56069","56069","0.9318405423232837","0.9318405423232837","0.9318405423232837"
"4000","1455","1455","1455","0.16421336924334817","0.16421336924334817","0.16421336924334817","1455","1455","1455","0.19100551756390208","0.19100551756390208","0.19100551756390208","1455","1455","1455","0.9433198458571008","0.9433198458571008","0.9433198458571008","64175","64175","64175","0.9468381790596387","0.9468381790596387","0.9468381790596387","64091","64091","64091","0.9457334992671363","0.9457334992671363","0.9457334992671363","64091","64091","64091","0.9648292720654734","0.9648292720654734","0.9648292720654734"
"4500","1637","1637","1637","0.155584028891441","0.155584028891441","0.155584028891441","1637","1637","1637","0.6253023057233337","0.6253023057233337","0.6253023057233337","1637","1637","1637","0.9431643048940266","0.9431643048940266","0.9431643048940266","72197","72197","72197","0.973249322756574","0.973249322756574","0.973249322756574","72099","72099","72099","0.9467937107631805","0.9467937107631805","0.9467937107631805","72099","72099","72099","0.9688250394278859","0.9688250394278859","0.9688250394278859"
"5000","1819","1819","1819","0.18671294383347325","0.18671294383347325","0.18671294383347325","1819","1819","1819","0.6508821809398653","0.6508821809398653","0.6508821809398653","1819","1819","1819","0.9674329216383839","0.9674329216383839","0.9674329216383839","80219","80219","80219","0.9772927468563983","0.9772927468563983","0.9772927468563983","80107","80107","80107","0.9490544019663021","0.9490544019663021","0.9490544019663021","80107","80107","80107","0.9655203810375236","0.9655203810375236","0.9655203810375236"
